Country,ccode,year,Approval_Smoothed,Approval_Not_Smoothed,NET_Smoothed,NET_Not_Smoothed,Relative_Smoothed,Relative_Not_Smoothed
Bulgaria_EXEC,Bulgaria_EXEC,2008,40.983051,30.415359,-18.390699,-18.782749,40.16473,37.781132
Bulgaria_EXEC,Bulgaria_EXEC,2009,41.619019,40.940041,-9.6385059,6.5170941,45.03363,53.547379
Bulgaria_EXEC,Bulgaria_EXEC,2010,38.59412,43.762058,.52049422,16.24795,50.369061,59.544621
Bulgaria_EXEC,Bulgaria_EXEC,2011,37.11898,37.097321,.0078661684,2.7437451,49.942558,51.042759
Bulgaria_EXEC,Bulgaria_EXEC,2012,39.267929,38.11771,-.95389891,1.256079,49.637421,50.254688
Bulgaria_EXEC,Bulgaria_EXEC,2013,37.123421,32.254318,-4.6818891,-6.7806268,47.66238,45.697922
Bulgaria_EXEC,Bulgaria_EXEC,2014,31.89253,25.139099,-13.78506,-18.150721,41.694328,37.117451
Bulgaria_EXEC,Bulgaria_EXEC,2015,34.071201,32.244881,-10.50447,-1.642009,43.366501,48.557571
Bulgaria_EXEC,Bulgaria_EXEC,2016,32.728939,30.63681,-9.88095,-4.1511302,43.448891,46.764488
Bulgaria_EXEC,Bulgaria_EXEC,2017,42.73764,35.023418,-9.9282856,-5.5595918,44.20993,46.14592
Bulgaria_EXEC,Bulgaria_EXEC,2018,49.171761,41.985741,-4.405457,4.4472132,47.934341,52.324902
Bulgaria_PM,Bulgaria_PM,1990,57.295681,56.420479,30.15827,28.46974,66.711739,66.44416
Bulgaria_PM,Bulgaria_PM,1991,56.602299,55.141479,29.51565,27.08427,66.266449,65.416939
Bulgaria_PM,Bulgaria_PM,1992,49.750011,43.124271,18.202021,3.504087,60.167648,51.966541
Bulgaria_PM,Bulgaria_PM,1993,46.00631,42.381989,12.81867,6.187768,57.501518,54.291039
Bulgaria_PM,Bulgaria_PM,1994,38.320839,31.69326,-3.0508671,-21.18811,48.699039,37.70607
Bulgaria_PM,Bulgaria_PM,1995,42.828369,47.041191,3.7669909,13.59426,52.320042,58.306702
Bulgaria_PM,Bulgaria_PM,1996,39.015678,36.169739,-5.2636242,-14.40665,47.342121,41.826
Bulgaria_PM,Bulgaria_PM,1997,45.740479,52.029259,3.518961,15.95683,51.441952,58.211182
Bulgaria_PM,Bulgaria_PM,1998,46.349731,47.201061,4.883306,7.8518839,52.063671,53.968948
Bulgaria_PM,Bulgaria_PM,1999,45.732269,45.44244,3.8574791,3.914257,51.50922,51.827431
Bulgaria_PM,Bulgaria_PM,2000,41.868149,38.81908,-3.9481621,-11.62531,47.545891,43.454109
Bulgaria_PM,Bulgaria_PM,2001,45.741669,50.552078,3.9828429,16.55183,51.830448,59.41515
Bulgaria_PM,Bulgaria_PM,2002,44.138432,42.899841,.3519437,-2.7146261,49.81319,48.169449
Bulgaria_PM,Bulgaria_PM,2003,38.844669,34.49712,-11.14252,-23.06905,44.03754,37.574181
Bulgaria_PM,Bulgaria_PM,2004,36.43895,34.908798,-17.803711,-22.8276,40.645649,37.803028
Bulgaria_PM,Bulgaria_PM,2005,37.625019,39.356319,-16.50477,-11.66835,41.247372,43.835072
Bulgaria_PM,Bulgaria_PM,2006,38.758808,40.76281,-13.78704,-6.8228798,42.387138,45.95224
Bulgaria_PM,Bulgaria_PM,2007,37.92107,38.33337,-15.38128,-13.47362,41.518131,42.489891
Bulgaria_PM,Bulgaria_PM,2008,34.576302,32.347889,-20.22797,-22.141029,38.617031,36.783131
Bulgaria_PM,Bulgaria_PM,2009,38.93681,43.168701,-11.09351,3.4641731,43.581779,52.314381
Bulgaria_PM,Bulgaria_PM,2010,44.363941,49.199791,-.1446137,15.23868,49.403099,58.73336
Bulgaria_PM,Bulgaria_PM,2011,43.202999,42.3666,-.30236211,1.006285,49.215561,50.02866
Bulgaria_PM,Bulgaria_PM,2012,42.06929,41.688801,-1.6857491,-1.346886,48.530571,48.95443
Bulgaria_PM,Bulgaria_PM,2013,39.23991,37.200649,-5.3625669,-8.093956,46.57933,45.004799
Bulgaria_PM,Bulgaria_PM,2014,34.30125,31.45507,-13.99795,-21.31929,41.321121,36.10857
Bulgaria_PM,Bulgaria_PM,2015,35.67577,38.203892,-10.58632,-3.1659839,43.335972,48.004028
Bulgaria_PM,Bulgaria_PM,2016,35.911869,37.340321,-9.7140846,-5.643332,43.8442,46.34774
Bulgaria_PM,Bulgaria_PM,2017,35.24028,35.645199,-10.9307,-9.1414061,43.240051,44.42791
Bulgaria_PM,Bulgaria_PM,2018,37.90649,41.617538,-6.5714369,1.234417,45.670712,50.436691
Bulgaria_PRES,Bulgaria_PRES,1990,61.970921,61.650719,50.378262,49.113499,83.791931,82.479599
Bulgaria_PRES,Bulgaria_PRES,1991,57.599609,57.049068,40.619259,38.231361,76.865387,74.289703
Bulgaria_PRES,Bulgaria_PRES,1992,59.82526,59.745441,44.55024,44.285511,79.014908,78.666992
Bulgaria_PRES,Bulgaria_PRES,1993,57.192841,56.794392,41.428452,40.133148,77.623047,76.45961
Bulgaria_PRES,Bulgaria_PRES,1994,48.172428,47.511501,23.73173,20.933781,66.155357,63.268478
Bulgaria_PRES,Bulgaria_PRES,1995,44.81234,44.703709,19.953951,19.751419,63.495029,63.16362
Bulgaria_PRES,Bulgaria_PRES,1996,32.488079,32.00182,-5.6056652,-8.0998697,45.887459,43.063202
Bulgaria_PRES,Bulgaria_PRES,1997,62.7355,64.839569,43.297279,50.808231,74.124672,81.123329
Bulgaria_PRES,Bulgaria_PRES,1998,68.41172,68.369362,57.05722,57.78418,84.529808,85.964531
Bulgaria_PRES,Bulgaria_PRES,1999,63.513451,62.75378,49.987309,47.53701,81.583649,79.695572
Bulgaria_PRES,Bulgaria_PRES,2000,60.197891,59.659481,43.174259,41.14661,77.343987,75.445091
Bulgaria_PRES,Bulgaria_PRES,2001,51.705582,50.987808,29.53826,27.10836,69.64901,67.469482
Bulgaria_PRES,Bulgaria_PRES,2002,50.13245,50.018459,32.774658,33.053028,73.21154,73.725906
Bulgaria_PRES,Bulgaria_PRES,2003,55.88583,56.202278,38.187988,38.537899,75.280708,75.238319
Bulgaria_PRES,Bulgaria_PRES,2004,63.567371,63.823421,49.583328,50.31776,81.316742,81.825027
Bulgaria_PRES,Bulgaria_PRES,2005,66.761162,66.564346,55.378731,54.82827,84.802162,84.343651
Bulgaria_PRES,Bulgaria_PRES,2006,57.072411,56.10677,38.446732,34.953259,74.930931,71.740601
Bulgaria_PRES,Bulgaria_PRES,2007,54.2598,53.929298,31.75848,30.39271,70.100052,68.638962
Bulgaria_PRES,Bulgaria_PRES,2008,46.277779,45.753021,16.87925,14.94495,60.737431,58.845551
Bulgaria_PRES,Bulgaria_PRES,2009,45.233292,45.302959,14.54114,14.88468,58.659351,58.883282
Bulgaria_PRES,Bulgaria_PRES,2010,39.349571,39.190102,4.997592,4.6521111,52.58078,52.260231
Bulgaria_PRES,Bulgaria_PRES,2011,40.144348,40.517712,5.5766678,6.8960929,52.418781,53.614262
Bulgaria_PRES,Bulgaria_PRES,2012,43.14893,43.590172,15.34971,17.815701,59.615349,62.394821
Bulgaria_PRES,Bulgaria_PRES,2013,41.581902,41.694592,13.61269,14.18885,59.78476,60.743401
Bulgaria_PRES,Bulgaria_PRES,2014,33.041069,32.854969,-6.927928,-8.5853519,45.74844,43.696751
Bulgaria_PRES,Bulgaria_PRES,2015,31.880529,32.31451,-10.54725,-9.0209112,42.165501,43.334511
Bulgaria_PRES,Bulgaria_PRES,2016,29.060471,29.43903,-14.77448,-13.09832,38.78265,40.335732
Bulgaria_PRES,Bulgaria_PRES,2017,53.83062,55.742481,26.131411,33.239491,63.455971,70.416206
Bulgaria_PRES,Bulgaria_PRES,2018,57.083229,57.16354,34.763962,35.86549,70.281891,71.959084
Canada,Canada,1978,36.17136,36.906689,-2.077497,-1.145291,47.624779,48.500542
Canada,Canada,1979,37.670361,38.696629,2.5746641,4.4068799,51.110439,52.449661
Canada,Canada,1980,41.31311,42.58429,6.6251268,7.6970119,53.21944,54.003441
Canada,Canada,1981,39.28862,39.042961,-5.157886,-7.6455998,46.666409,45.915798
Canada,Canada,1982,31.539351,30.411699,-16.764811,-18.36846,39.71933,38.98975
Canada,Canada,1983,33.822128,35.50631,-11.37086,-8.0784016,43.377468,44.898651
Canada,Canada,1984,42.515839,45.213039,9.5138607,16.25675,56.592831,60.217499
Canada,Canada,1985,47.31818,48.19239,18.60367,20.04233,60.784088,61.555481
Canada,Canada,1986,42.839691,41.467861,8.1115494,4.704906,53.794411,52.332699
Canada,Canada,1987,38.259411,37.291779,-1.285522,-4.8593202,48.947559,46.819221
Canada,Canada,1988,45.00893,46.706211,12.97546,14.59033,58.17976,58.048889
Canada,Canada,1989,40.309509,39.256721,1.117498,-.96150959,49.909561,49.158249
Canada,Canada,1990,31.44013,29.99847,-16.70961,-20.432329,39.920391,38.063702
Canada,Canada,1991,25.91473,26.107019,-27.46496,-27.846491,34.122261,33.726501
Canada,Canada,1992,24.92144,26.623711,-30.5446,-27.271299,32.502129,34.177929
Canada,Canada,1993,28.818569,31.73053,-22.905581,-14.93634,36.565109,41.329731
Canada,Canada,1994,49.316189,55.120621,15.20449,29.447411,57.98727,65.4879
Canada,Canada,1995,52.58876,52.562019,22.04492,24.399891,60.288139,62.696739
Canada,Canada,1996,50.202721,48.573792,18.75127,16.13723,58.486439,58.2808
Canada,Canada,1997,49.020088,47.772179,19.45829,15.69808,60.18298,58.535091
Canada,Canada,1998,51.866348,51.779079,23.77434,22.05805,62.71735,61.549641
Canada,Canada,1999,51.765518,50.657471,23.72998,19.84869,62.878262,60.515339
Canada,Canada,2000,49.946941,48.447552,24.891689,22.604799,64.509773,64.118347
Canada,Canada,2001,49.291592,48.31889,19.99976,14.27236,61.573132,57.462509
Canada,Canada,2002,39.83926,37.37484,2.2638659,-4.1896472,52.797279,48.621841
Canada,Canada,2003,44.086399,45.06995,18.698009,22.223351,63.45039,65.698349
